1,L Fabianski,ARS,1,0,4,0,0,0,0,0,0,0,0
2,W Szczesny,ARS,1,1,4.2,3,7,1,0,0,6,0,0
3,E Viviano,ARS,1,0,4.1,0,0,0,0,0,0,0,0
4,S Given,AV,1,0,3.1,0,0,0,0,0,0,0,0
5,B Guzan,AV,1,2,3.2,3,8,1,1,0,6,0,0
6,J Lewis,CAR,1,0,2.9,0,1,0,0,0,1,0,0
7,D Marshall,CAR,1,1,3,0,6,1,0,0,5,0,0
8,P Cech,CHE,1,9,4.3,3,3,3,0,0,6,0,0
9,M Schwarzer,CHE,1,0,4,0,0,0,0,0,0,0,0
10,L Price,CP,1,0,2.8,0,0,0,0,0,0,0,0
11,J Speroni,CP,1,-4,2.9,-3,10,0,0,0,6,0,0
12,T Howard,EVE,1,9,3.8,4,5,3,1,0,6,0,0
13,J Robles,EVE,1,0,3.6,0,0,0,0,0,0,0,0
14,M Stekelenburg,FUL,1,3,3.3,0,0,1,0,0,1,0,0
15,D Stockdale,FUL,1,-4,3.1,-2,9,0,0,0,5,0,0
16,E Jakupovic,HUL,1,0,2.8,0,0,0,0,0,0,0,0
17,A McGregor,HUL,1,3,2.9,2,7,2,0,0,6,0,0
18,M Oxley,HUL,1,0,2.8,0,0,0,0,0,0,0,0
19,B Jones,LIV,1,0,3.9,0,0,0,0,0,0,0,0
20,S Mignolet,LIV,1,8,4,2,4,3,0,0,6,0,0
21,J Hart,MC,1,5,4.6,1,7,3,0,0,6,0,0
22,C Pantilimon,MC,1,0,4.3,0,0,0,0,0,0,0,0
23,D De Gea,MU,1,2,4.5,-1,8,2,0,0,6,0,0
24,A Lindegaard,MU,1,0,4.2,0,0,0,0,0,0,0,0
25,R Elliot,NEW,1,0,3.2,0,0,0,0,0,0,0,0
26,T Krul,NEW,1,-1,3.3,-4,11,2,0,0,6,0,0
27,M Bunn,NOR,1,0,3,0,0,0,0,0,0,0,0
28,J Ruddy,NOR,1,4,3.1,2,6,2,0,0,6,0,0
29,A Boruc,SOT,1,12,3,9,2,4,0,0,6,0,0
30,K Davis,SOT,1,0,2.9,0,0,0,0,0,0,0,0
